iter	MultiClass
0	1.34714869
1	1.311380612
2	1.278232873
3	1.247742998
4	1.2194447
5	1.195983908
6	1.173654867
7	1.153009056
8	1.133115811
9	1.115339387
10	1.09895828
11	1.084010041
12	1.069849106
13	1.056583636
14	1.04369472
15	1.032368149
16	1.021284174
17	1.010702309
18	1.001975839
19	0.9926751728
20	0.9845015203
21	0.9762975755
22	0.9692723042
23	0.9618031742
24	0.9551987738
25	0.9484240641
26	0.943063646
27	0.9376190246
28	0.931789034
29	0.9271086915
30	0.9221649138
31	0.9167073839
32	0.9115915842
33	0.9071903967
34	0.9033258812
35	0.8994626495
36	0.8964578827
37	0.8928502018
38	0.8895076607
39	0.8856574561
40	0.8825504977
41	0.8791010664
42	0.8764423312
43	0.8729728296
44	0.8702504033
45	0.8677003466
46	0.865040652
47	0.8624430913
48	0.8596831173
49	0.8571893468
50	0.8552374096
51	0.8533855318
52	0.8507584415
53	0.8482933462
54	0.846382145
55	0.8443846135
56	0.8428182614
57	0.8403119125
58	0.8382533964
59	0.8360379101
60	0.8340695785
61	0.8320319212
62	0.8304216644
63	0.8288132109
64	0.8266281113
65	0.8250892247
66	0.8235480134
67	0.8221305836
68	0.8206305807
69	0.8194996424
70	0.8180579323
71	0.8165726399
72	0.8146776381
73	0.8133425806
74	0.811965715
75	0.8105992854
76	0.8087981353
77	0.8074358989
78	0.8057492828
79	0.8041071302
80	0.8027991067
81	0.8015906324
82	0.8002871439
83	0.799133979
84	0.7981045612
85	0.7969980158
86	0.7960120471
87	0.7947649717
88	0.7940750287
89	0.7923798362
90	0.7906928701
91	0.7897819032
92	0.7885097784
93	0.7875226443
94	0.7866517865
95	0.7853293989
96	0.7842837216
97	0.7833441009
98	0.7822013083
99	0.7814659382
100	0.7803206792
101	0.7793988947
102	0.7784966218
103	0.7776170237
104	0.7769703305
105	0.7758880875
106	0.7749631931
107	0.7739266161
108	0.7727914513
109	0.7717592463
110	0.7710815869
111	0.7702353771
112	0.7693344826
113	0.7686232798
114	0.7677072181
115	0.7668658121
116	0.7661169368
117	0.7655215717
118	0.7649140376
119	0.7636366603
120	0.7626766255
121	0.7620254086
122	0.7611603525
123	0.7601783807
124	0.7593876417
125	0.7589151291
126	0.7577441703
127	0.7568986369
128	0.7562984857
129	0.7553903905
130	0.7542626851
131	0.7536163246
132	0.7531420679
133	0.7525172394
134	0.7515514197
135	0.7507744982
136	0.7502123373
137	0.7495494231
138	0.7485661468
139	0.7475536009
140	0.7465682185
141	0.7459136574
142	0.7452872714
143	0.7445412954
144	0.7440741541
145	0.7434036171
146	0.7422799963
147	0.7414893796
148	0.7407884921
149	0.7398636781
150	0.7392736602
151	0.7386559621
152	0.7380385373
153	0.7370585864
154	0.7364521591
155	0.7357039285
156	0.7346369857
157	0.7340980385
158	0.7335335218
159	0.7329128817
160	0.7323500903
161	0.731692393
162	0.7310370323
163	0.7302264972
164	0.7293796162
165	0.7289432174
166	0.727983461
167	0.7272210863
168	0.7264577852
169	0.7258514688
170	0.7251069105
171	0.7244339209
172	0.7237721592
173	0.7231294007
174	0.7227178484
175	0.7219608398
176	0.7212358102
177	0.7206628767
178	0.7200142516
179	0.7195048589
